neuron,window_s,d_binary,p,retained
AIBL,10,-0.308,0.02473,0.743
AIBL,15,-0.249,0.04448,0.602
AIBL,30,-0.228,0.0875,0.551
AIBL,60,-0.206,0.26848,0.499
AIBL,120,-0.098,0.57512,0.237
AIBL,300,-0.129,0.26538,0.312
AIBL,600,-0.078,0.38385,0.189
AVEL,10,0.069,0.8069,0.731
AVEL,15,0.039,0.77889,0.418
AVEL,30,-0.128,0.45413,1.362
AVEL,60,-0.097,0.5889,1.032
AVEL,120,0.01,0.90475,0.109
AVEL,300,-0.124,0.74527,1.319
AVEL,600,0.031,0.74564,0.335
AVAL,10,-0.051,0.61286,0.192
AVAL,15,-0.182,0.12097,0.688
AVAL,30,-0.178,0.20843,0.673
AVAL,60,-0.229,0.1263,0.866
AVAL,120,-0.025,0.78324,0.093
AVAL,300,-0.17,0.20863,0.643
AVAL,600,-0.06,0.8185,0.227
RIML,10,-0.088,0.45314,0.366
RIML,15,-0.122,0.37263,0.508
RIML,30,-0.193,0.23032,0.805
RIML,60,-0.138,0.62927,0.574
RIML,120,-0.097,0.51622,0.406
RIML,300,-0.144,0.3375,0.599
RIML,600,-0.076,0.79405,0.316
ASEL,10,0.096,0.5089,0.563
ASEL,15,0.077,0.61409,0.451
ASEL,30,-0.071,0.64831,0.416
ASEL,60,-0.088,0.54281,0.517
ASEL,120,-0.04,0.51151,0.236
ASEL,300,0.225,0.12424,1.315
ASEL,600,0.071,0.84749,0.414
ASER,10,-0.187,0.2218,0.773
ASER,15,-0.102,0.39675,0.421
ASER,30,-0.156,0.22786,0.643
ASER,60,-0.119,0.33858,0.491
ASER,120,-0.037,0.84438,0.153
ASER,300,-0.12,0.63999,0.497
ASER,600,-0.187,0.43879,0.771
AWAL,10,0.318,0.05246,0.443
AWAL,15,0.403,0.01247,0.562
AWAL,30,0.436,0.00444,0.609
AWAL,60,0.412,0.00483,0.575
AWAL,120,0.458,0.00201,0.638
AWAL,300,0.76,0.0,1.06
AWAL,600,1.008,0.0,1.406
AWCL,10,0.112,0.37317,0.63
AWCL,15,0.063,0.57787,0.352
AWCL,30,0.092,0.61529,0.517
AWCL,60,0.074,0.45014,0.416
AWCL,120,0.015,0.95746,0.084
AWCL,300,0.005,0.48151,0.025
AWCL,600,0.07,0.98039,0.394
