pair,anatomy,functional,ours
ASEL->ASER,2.0,0.07980682984120029,0.0171197981278672
ASEL->AWAL,0.0,0.16342297003129966,0.0326100292781107
ASEL->AWCL,18.0,,0.009000494771503
ASER->ASEL,3.0,,0.0205400064865401
ASER->AWAL,0.0,,0.0152330481939415
ASER->AWCL,1.0,,0.0124047483341966
AWAL->ASEL,7.0,0.1653961980075504,0.0298350406712824
AWAL->ASER,0.0,,0.0136289343550162
AWAL->AWCL,0.0,,0.0092078929099723
AWCL->ASEL,2.0,,0.0139380893707067
AWCL->ASER,1.0,0.2302485841519791,0.0133240898660513
AWCL->AWAL,0.0,,0.0165297902333685
