mapping,cost
A→AB  C→AC  AC→BC  ABC→ABC,3.814135837131423
A→AB  C→BC  AC→AC  ABC→ABC,3.814135837131423
A→AC  C→AB  AC→BC  ABC→ABC,3.814135837131423
A→AC  C→BC  AC→AB  ABC→ABC,3.814135837131423
A→BC  C→AC  AC→AB  ABC→ABC,3.814135837131423
A→BC  C→AB  AC→AC  ABC→ABC,3.814135837131423
A→ABC  C→AC  AC→BC  ABC→AB,4.1422558348237235
A→ABC  C→AC  AC→AB  ABC→BC,4.1422558348237235
A→ABC  C→AB  AC→BC  ABC→AC,4.1422558348237235
A→ABC  C→AB  AC→AC  ABC→BC,4.1422558348237235
A→BC  C→ABC  AC→AC  ABC→AB,4.1422558348237235
A→BC  C→ABC  AC→AB  ABC→AC,4.1422558348237235
A→BC  C→AC  AC→ABC  ABC→AB,4.1422558348237235
A→AC  C→ABC  AC→BC  ABC→AB,4.1422558348237235
A→ABC  C→BC  AC→AB  ABC→AC,4.1422558348237235
A→AC  C→ABC  AC→AB  ABC→BC,4.1422558348237235
A→AC  C→BC  AC→ABC  ABC→AB,4.1422558348237235
A→AC  C→AB  AC→ABC  ABC→BC,4.1422558348237235
A→AB  C→ABC  AC→BC  ABC→AC,4.1422558348237235
A→AB  C→ABC  AC→AC  ABC→BC,4.1422558348237235
A→AB  C→BC  AC→ABC  ABC→AC,4.1422558348237235
A→AB  C→AC  AC→ABC  ABC→BC,4.1422558348237235
A→BC  C→AB  AC→ABC  ABC→AC,4.1422558348237235
A→ABC  C→BC  AC→AC  ABC→AB,4.1422558348237235
