term,contribution,kind,degree
φ_d  ABC → ABC,0.3359400011538499,distinction,0
"φ_r  {A,ABC} → {AB,ABC}",0.27864666705128327,relation,2
φ_r  {A} → {AB},0.2766916661858958,relation,1
"φ_r  {A,AC} → {AB,BC}",0.2366541669070521,relation,2
"φ_r  {A,ABC,AC,C} → {AB,ABC,AC,BC}",0.2366541669070521,relation,4
"φ_r  {A,ABC,AC} → {AB,ABC,BC}",0.2366541669070521,relation,3
"φ_r  {A,AC,C} → {AB,AC,BC}",0.2366541669070521,relation,3
"φ_r  {ABC,AC} → {ABC,BC}",0.2233083338141042,relation,2
φ_d  A → AB,0.2233083338141042,distinction,0
φ_d  AC → BC,0.2233083338141042,distinction,0
φ_r  {ABC} → {ABC},0.2213533329487167,relation,1
"φ_r  {A,C} → {AB,AC}",0.20833333333333334,relation,2
"φ_r  {A,ABC,C} → {AB,ABC,AC}",0.20833333333333334,relation,3
"φ_r  {ABC,C} → {ABC,AC}",0.16666666666666669,relation,2
φ_r  {C} → {AC},0.16666666666666666,relation,1
φ_r  {AC} → {BC},0.1383458330929479,relation,1
"φ_r  {ABC,AC,C} → {ABC,AC,BC}",0.0983083338141042,relation,3
"φ_r  {AC,C} → {AC,BC}",0.0983083338141042,relation,2
φ_d  C → AC,0.0,distinction,0
