scale,rep,jsd,D_from_full,n_dist,n_rel
8.0,0,0.01234,1.7975,14,913
8.0,1,0.01163,1.5994,15,2547
8.0,2,0.01146,2.4017,15,2747
8.0,3,0.01258,0.8641,15,1663
8.0,4,0.01188,2.2397,15,1619
8.0,5,0.01107,1.5487,15,1819
4.0,0,0.01619,2.5592,15,2443
4.0,1,0.01633,1.7894,15,1226
4.0,2,0.01776,1.4935,15,2827
4.0,3,0.01615,0.9505,15,1517
4.0,4,0.0166,2.0674,13,782
4.0,5,0.01566,2.3149,13,655
2.0,0,0.02239,2.0985,15,2084
2.0,1,0.02444,2.5732,14,722
2.0,2,0.02243,2.9209,15,1107
2.0,3,0.02505,1.8401,15,1664
2.0,4,0.02635,1.749,14,915
2.0,5,0.024,2.766,15,1898
1.0,0,0.03035,3.0931,14,1298
1.0,1,0.03091,3.0165,15,1256
1.0,2,0.03333,4.486,15,1917
1.0,3,0.03358,3.8353,14,2269
1.0,4,0.03266,6.1047,15,2618
1.0,5,0.0313,1.9548,15,2086
0.5,0,0.04973,4.8138,15,5210
0.5,1,0.04821,3.5814,14,1003
0.5,2,0.0478,3.1491,15,1048
0.5,3,0.04569,2.4453,14,888
0.5,4,0.0487,2.8934,11,277
0.5,5,0.04283,4.7994,15,3419
0.25,0,0.06367,3.0885,12,311
0.25,1,0.06364,4.1905,13,883
0.25,2,0.06515,5.1999,13,1081
0.25,3,0.0691,3.7017,12,308
0.25,4,0.07121,11.561,15,3768
0.25,5,0.066,23.6324,15,6169
