substrate,state,phi,n_dist,n_rel
core,0000,66.1067,15,4350
core,0001,1.584,6,20
core,0010,1.0288,6,25
core,0011,0.6536,3,3
core,0100,1.1253,6,20
core,0101,0.7833,4,4
core,0110,0.7886,4,4
core,0111,1.4521,7,41
core,1000,1.242,6,20
core,1001,0.4395,2,2
core,1010,0.858,4,6
core,1011,1.6692,7,38
core,1100,0.7849,4,4
core,1101,0.9441,6,16
core,1110,2.0019,7,28
core,1111,35.8331,15,2361
sens,0000,19.8133,15,6140
sens,0001,0.8748,4,4
sens,0010,0.9399,5,7
sens,0011,0.9406,5,6
sens,0100,0.9121,6,13
sens,0101,0.9567,5,7
sens,0110,0.9338,7,21
sens,0111,4.0782,15,1802
sens,1000,0.9704,6,12
sens,1001,0.9133,5,6
sens,1010,0.966,6,9
sens,1011,1.0229,9,76
sens,1100,0.9067,5,7
sens,1101,1.2443,11,113
sens,1110,0.8198,3,3
sens,1111,1.3086,9,68
