"state (bits: AWCL,AWAL,ASER,ASEL — as notebooks 14-15)",Phi_static,Phi_stim_on,Phi_stim_off,ndist_static,nrel_static,ndist_stim_on,nrel_stim_on,ndist_stim_off,nrel_stim_off
0000,19.813258,6.913827,36.228398,15,6140,15,1081,15,6653
0001,0.874769,1.494391,0.685306,4,4,7,23,4,4
0010,0.939907,1.551575,0.79856,5,7,10,180,7,24
0011,0.940625,1.482381,0.734003,5,6,6,9,5,6
0100,0.912148,1.424226,0.735529,6,13,6,11,5,12
0101,0.956652,1.562273,0.710665,5,7,6,10,5,6
0110,0.933818,1.363224,0.676774,7,21,4,4,5,10
0111,4.078213,1.73069,0.953055,15,1802,7,20,10,86
1000,0.970403,7.457195,0.674897,6,12,15,3617,4,4
1001,0.913312,1.169218,0.738408,5,6,3,3,5,7
1010,0.966022,1.245733,0.709827,6,9,5,8,4,4
1011,1.022853,1.405493,1.122295,9,76,7,49,11,334
1100,0.906673,2.485296,0.709259,5,7,12,455,7,26
1101,1.244345,1.996933,1.061027,11,113,10,104,10,141
1110,0.819751,1.5022,0.669346,3,3,5,6,3,3
1111,1.308621,6.194305,2.882323,9,68,15,1345,12,1030
