animal,stimulus,cls,rep,dip
20220327_herm_2,100mM NaCl,attractant,0,-2.7510229575009415
20220327_herm_2,100mM NaCl,attractant,1,-1.5099565147037173
20220327_herm_2,100mM NaCl,attractant,2,-0.4123118417706446
20220327_herm_2,e-2 IAA,attractant,0,-1.279659994893935
20220327_herm_2,e-2 IAA,attractant,1,-2.434876057717859
20220327_herm_2,e-2 IAA,attractant,2,-1.104148958940375
20220327_herm_2,e-6 IAA,attractant,0,2.2986983770234284
20220327_herm_2,e-6 IAA,attractant,1,-1.4093245063741602
20220327_herm_2,e-6 IAA,attractant,2,1.6448834714737144
20220327_herm_2,OP50,attractant,0,-0.32825943182049566
20220327_herm_2,OP50,attractant,1,-1.8639208001687027
20220327_herm_2,450mM NaCl,repellent,0,-1.7346625481730866
20220327_herm_2,450mM NaCl,repellent,1,0.37441446406711343
20220327_herm_2,450mM NaCl,repellent,2,0.5812257419956581
20220327_herm_2,1uM ascr#3,repellent,0,-0.503784602518655
20220327_herm_2,1uM ascr#3,repellent,1,-1.894161987912089
20220327_herm_2,1uM ascr#3,repellent,2,-1.4243737946741226
20220327_herm_2,10mM CuSO4,repellent,0,0.36237450448587616
20220327_herm_2,10mM CuSO4,repellent,1,-1.0212191257369807
20220327_herm_2,10mM CuSO4,repellent,2,0.686940603957845
20220327_herm_2,800mM Sorbitol,repellent,0,1.6968779898617647
20220327_herm_2,800mM Sorbitol,repellent,1,0.6813246063477956
20220327_herm_2,800mM Sorbitol,repellent,2,-0.6103887264036483
20220327_herm_2,Control,control,0,-0.3954008135774343
20220327_herm_2,Control,control,1,-0.9903563210918476
20220327_herm_2,Control,control,2,0.853373570364178
20220327_herm_2,Fluorescein,control,0,-2.9078011833661597
20220327_herm_2,Fluorescein,control,1,0.2069321832286808
20220327_herm_2,Fluorescein,control,2,0.09524004177617451
20220327_herm_4,100mM NaCl,attractant,0,1.792045263321421
20220327_herm_4,100mM NaCl,attractant,1,-1.218343063763728
20220327_herm_4,100mM NaCl,attractant,2,-1.3844129616976468
20220327_herm_4,e-2 IAA,attractant,0,-0.3075953061824763
20220327_herm_4,e-2 IAA,attractant,1,-0.58199600114341
20220327_herm_4,e-2 IAA,attractant,2,0.17162196268257413
20220327_herm_4,e-6 IAA,attractant,0,2.432418013752304
20220327_herm_4,e-6 IAA,attractant,1,-0.5762891669317867
20220327_herm_4,e-6 IAA,attractant,2,-2.132332554974143
20220327_herm_4,OP50,attractant,0,1.2614221558292238
20220327_herm_4,OP50,attractant,1,0.11676123958071072
20220327_herm_4,OP50,attractant,2,-1.4643781148417805
20220327_herm_4,450mM NaCl,repellent,0,-0.3135566458706398
20220327_herm_4,450mM NaCl,repellent,1,-0.9306712677722389
20220327_herm_4,450mM NaCl,repellent,2,-1.3752741905385695
20220327_herm_4,1uM ascr#3,repellent,0,0.07824076164167604
20220327_herm_4,1uM ascr#3,repellent,1,-1.2727723145268732
20220327_herm_4,1uM ascr#3,repellent,2,1.47209576901286
20220327_herm_4,10mM CuSO4,repellent,0,0.5021888954376437
20220327_herm_4,10mM CuSO4,repellent,1,1.200720315436533
20220327_herm_4,10mM CuSO4,repellent,2,-1.1835247868345107
20220327_herm_4,800mM Sorbitol,repellent,0,-0.604573647198384
20220327_herm_4,800mM Sorbitol,repellent,1,0.45686228216007185
20220327_herm_4,800mM Sorbitol,repellent,2,0.22927582680200542
20220327_herm_4,Control,control,0,-1.3696286665010091
20220327_herm_4,Control,control,1,-0.49431038767836766
20220327_herm_4,Fluorescein,control,0,-1.3636012241272186
20220327_herm_4,Fluorescein,control,1,-1.4258346061228862
20220327_herm_4,Fluorescein,control,2,-2.288988359270136
20220403_herm_2,100mM NaCl,attractant,0,-3.650572408724489
20220403_herm_2,100mM NaCl,attractant,1,0.09358223479724082
20220403_herm_2,100mM NaCl,attractant,2,-2.5784956962145493
20220403_herm_2,e-2 IAA,attractant,0,-1.1365736207347275
20220403_herm_2,e-2 IAA,attractant,1,-0.6465440494925438
20220403_herm_2,e-2 IAA,attractant,2,0.6534629575252333
20220403_herm_2,e-6 IAA,attractant,0,-1.414361806252523
20220403_herm_2,e-6 IAA,attractant,1,1.045422330210477
20220403_herm_2,e-6 IAA,attractant,2,0.4071151481567443
20220403_herm_2,OP50,attractant,0,-2.2680426149391737
20220403_herm_2,OP50,attractant,1,-2.823941621914947
20220403_herm_2,OP50,attractant,2,-0.8883294776661859
20220403_herm_2,450mM NaCl,repellent,0,-2.1273080716179744
20220403_herm_2,450mM NaCl,repellent,1,0.7981342883118487
20220403_herm_2,450mM NaCl,repellent,2,-1.3428639887023186
20220403_herm_2,1uM ascr#3,repellent,0,0.523517074141298
20220403_herm_2,1uM ascr#3,repellent,1,-0.8928290038570426
20220403_herm_2,1uM ascr#3,repellent,2,1.030354481722898
20220403_herm_2,10mM CuSO4,repellent,0,-0.8255315639965817
20220403_herm_2,10mM CuSO4,repellent,1,-0.2988816829481804
20220403_herm_2,10mM CuSO4,repellent,2,0.46115656457502974
20220403_herm_2,800mM Sorbitol,repellent,0,-2.40871754110526
20220403_herm_2,800mM Sorbitol,repellent,1,-3.434058494697834
20220403_herm_2,800mM Sorbitol,repellent,2,-2.1911338069115662
20220403_herm_2,Control,control,0,-0.5934725153954301
20220403_herm_2,Control,control,1,-1.613576928598624
20220403_herm_2,Fluorescein,control,0,-1.3711630300549151
20220403_herm_2,Fluorescein,control,1,2.0167178438255147
20220403_herm_2,Fluorescein,control,2,-2.3102067185383564
20220403_herm_3,100mM NaCl,attractant,0,0.9617444689511205
20220403_herm_3,100mM NaCl,attractant,1,-0.8651615582886092
20220403_herm_3,100mM NaCl,attractant,2,0.323243522314026
20220403_herm_3,e-2 IAA,attractant,0,-0.7978000760431185
20220403_herm_3,e-2 IAA,attractant,1,-2.0246900974566984
20220403_herm_3,e-2 IAA,attractant,2,-0.5338728275713818
20220403_herm_3,e-6 IAA,attractant,0,-2.2041630341895457
20220403_herm_3,e-6 IAA,attractant,1,-0.16588896851069546
20220403_herm_3,e-6 IAA,attractant,2,0.5701503393029206
20220403_herm_3,OP50,attractant,0,2.309807652651156
20220403_herm_3,OP50,attractant,1,-0.8010335221062226
20220403_herm_3,OP50,attractant,2,1.7983449110378844
20220403_herm_3,450mM NaCl,repellent,0,-0.4024894827655774
20220403_herm_3,450mM NaCl,repellent,1,0.437744401787159
20220403_herm_3,450mM NaCl,repellent,2,-0.004634914674193968
20220403_herm_3,1uM ascr#3,repellent,0,-0.40264383924298963
20220403_herm_3,1uM ascr#3,repellent,1,-0.9180357069356875
20220403_herm_3,1uM ascr#3,repellent,2,0.9495883188409837
20220403_herm_3,10mM CuSO4,repellent,0,-0.8865320657124909
20220403_herm_3,10mM CuSO4,repellent,1,0.9413523817352107
20220403_herm_3,800mM Sorbitol,repellent,0,-1.9640857311403201
20220403_herm_3,800mM Sorbitol,repellent,1,0.1700529190633422
20220403_herm_3,800mM Sorbitol,repellent,2,-0.33175000251159714
20220403_herm_3,Control,control,0,-0.15451924180315801
20220403_herm_3,Control,control,1,-0.8557433430904475
20220403_herm_3,Control,control,2,-2.4745035640789714
20220403_herm_3,Fluorescein,control,0,0.31055307918616126
20220403_herm_3,Fluorescein,control,1,-0.3367825099186006
20220403_herm_3,Fluorescein,control,2,-2.9410757007609476
20220427_herm_2,100mM NaCl,attractant,0,-0.46504636713596303
20220427_herm_2,100mM NaCl,attractant,1,-1.325902851008224
20220427_herm_2,100mM NaCl,attractant,2,1.0259732995272488
20220427_herm_2,e-2 IAA,attractant,0,-2.1897302498851774
20220427_herm_2,e-2 IAA,attractant,1,-0.7419432559703218
20220427_herm_2,e-2 IAA,attractant,2,-1.2658351972067332
20220427_herm_2,e-6 IAA,attractant,0,1.294607045476488
20220427_herm_2,e-6 IAA,attractant,1,0.2301728588041354
20220427_herm_2,e-6 IAA,attractant,2,-0.29409545845962226
20220427_herm_2,OP50,attractant,0,-15.515467586505329
20220427_herm_2,OP50,attractant,1,-0.6437005062473631
20220427_herm_2,OP50,attractant,2,0.12464402417859333
20220427_herm_2,450mM NaCl,repellent,0,18.362711643149183
20220427_herm_2,450mM NaCl,repellent,1,-0.4114881918978468
20220427_herm_2,450mM NaCl,repellent,2,-1.0509632702640497
20220427_herm_2,1uM ascr#3,repellent,0,0.07070400026693568
20220427_herm_2,1uM ascr#3,repellent,1,0.4783947566558715
20220427_herm_2,10mM CuSO4,repellent,0,0.4606724052679141
20220427_herm_2,10mM CuSO4,repellent,1,0.48262738035099195
20220427_herm_2,10mM CuSO4,repellent,2,2.0485798382533904
20220427_herm_2,800mM Sorbitol,repellent,0,-1.4282403046240426
20220427_herm_2,800mM Sorbitol,repellent,1,0.15783428257762244
20220427_herm_2,800mM Sorbitol,repellent,2,2.2743035630836617
20220427_herm_2,Control,control,0,1.0180626593660653
20220427_herm_2,Control,control,1,1.4924037133175645
20220427_herm_2,Control,control,2,1.4833553676595543
20220427_herm_2,Fluorescein,control,0,0.3815941605256179
20220427_herm_2,Fluorescein,control,1,-0.39053240594039274
20220427_herm_2,Fluorescein,control,2,-0.9329474807811571
20220427_herm_3,100mM NaCl,attractant,0,1.5909061276508207
20220427_herm_3,100mM NaCl,attractant,1,-0.4609401971017597
20220427_herm_3,100mM NaCl,attractant,2,-1.4749123179611126
20220427_herm_3,e-2 IAA,attractant,0,-1.0293083958005698
20220427_herm_3,e-2 IAA,attractant,1,-0.5062232249191205
20220427_herm_3,e-2 IAA,attractant,2,0.5062582027309195
20220427_herm_3,e-6 IAA,attractant,0,-1.24692720697866
20220427_herm_3,e-6 IAA,attractant,1,-0.7631625088244272
20220427_herm_3,e-6 IAA,attractant,2,-1.0284394067864984
20220427_herm_3,OP50,attractant,0,-3.2237698332128724
20220427_herm_3,OP50,attractant,1,-0.9771201088140105
20220427_herm_3,OP50,attractant,2,-0.9627781286594286
20220427_herm_3,450mM NaCl,repellent,0,0.4846426673300246
20220427_herm_3,450mM NaCl,repellent,1,-1.1689647961205152
20220427_herm_3,1uM ascr#3,repellent,0,-1.36569610801509
20220427_herm_3,1uM ascr#3,repellent,1,0.9599788589965126
20220427_herm_3,1uM ascr#3,repellent,2,-0.7866180193604819
20220427_herm_3,10mM CuSO4,repellent,0,1.5423850302586826
20220427_herm_3,10mM CuSO4,repellent,1,-1.477382224607267
20220427_herm_3,10mM CuSO4,repellent,2,-1.0088259983248675
20220427_herm_3,800mM Sorbitol,repellent,0,-1.274784786777452
20220427_herm_3,800mM Sorbitol,repellent,1,-0.9031829186174107
20220427_herm_3,800mM Sorbitol,repellent,2,1.177116874193266
20220427_herm_3,Control,control,0,-1.2867651373902191
20220427_herm_3,Control,control,1,-1.0316025740223091
20220427_herm_3,Control,control,2,-1.1038229031917204
20220427_herm_3,Fluorescein,control,0,-1.4872407536144772
20220427_herm_3,Fluorescein,control,1,-0.5420887880757685
20220427_herm_3,Fluorescein,control,2,0.017697834672592894
20220427_herm_4,100mM NaCl,attractant,0,0.964937622871541
20220427_herm_4,100mM NaCl,attractant,1,1.80182721255153
20220427_herm_4,100mM NaCl,attractant,2,-2.8022678220774786
20220427_herm_4,e-2 IAA,attractant,0,16.019963643661306
20220427_herm_4,e-2 IAA,attractant,1,0.09942552758221201
20220427_herm_4,e-2 IAA,attractant,2,-0.5509612976277116
20220427_herm_4,e-6 IAA,attractant,0,-2.535960751804841
20220427_herm_4,e-6 IAA,attractant,1,-0.9313895802638705
20220427_herm_4,OP50,attractant,0,-1.049528840593786
20220427_herm_4,OP50,attractant,1,0.33738235753684354
20220427_herm_4,OP50,attractant,2,-0.1687624229441207
20220427_herm_4,450mM NaCl,repellent,0,1.8794517313670558
20220427_herm_4,450mM NaCl,repellent,1,0.9331654125657667
20220427_herm_4,450mM NaCl,repellent,2,0.39394011906696624
20220427_herm_4,1uM ascr#3,repellent,0,-1.1803922432059748
20220427_herm_4,1uM ascr#3,repellent,1,-0.8175703712907434
20220427_herm_4,1uM ascr#3,repellent,2,-1.06934369403714
20220427_herm_4,10mM CuSO4,repellent,0,0.4400721082988843
20220427_herm_4,10mM CuSO4,repellent,1,0.4985702166049917
20220427_herm_4,10mM CuSO4,repellent,2,0.02582885631348608
20220427_herm_4,800mM Sorbitol,repellent,0,-2.3640071485023735
20220427_herm_4,800mM Sorbitol,repellent,1,-0.926241401520199
20220427_herm_4,800mM Sorbitol,repellent,2,0.48991741640776554
20220427_herm_4,Control,control,0,-0.3817357809196569
20220427_herm_4,Control,control,1,-0.41385897545277395
20220427_herm_4,Control,control,2,-2.1166402732665275
20220427_herm_4,Fluorescein,control,0,-0.1459926436325274
20220427_herm_4,Fluorescein,control,1,-0.3641544781186159
20220427_herm_4,Fluorescein,control,2,1.8906255728549262
20220427_herm_5,100mM NaCl,attractant,0,1.3479132096886608
20220427_herm_5,100mM NaCl,attractant,1,-1.3096302172195202
20220427_herm_5,100mM NaCl,attractant,2,-0.15655686898683552
20220427_herm_5,e-2 IAA,attractant,0,-0.3974724319543981
20220427_herm_5,e-2 IAA,attractant,1,0.3232306622143959
20220427_herm_5,e-2 IAA,attractant,2,-0.6042723057623758
20220427_herm_5,e-6 IAA,attractant,0,1.4668882212594532
20220427_herm_5,e-6 IAA,attractant,1,0.7030664868016716
20220427_herm_5,OP50,attractant,0,0.37173245194218296
20220427_herm_5,OP50,attractant,1,1.3555375388417052
20220427_herm_5,OP50,attractant,2,0.32290660203968
20220427_herm_5,450mM NaCl,repellent,0,-1.4831489800998896
20220427_herm_5,450mM NaCl,repellent,1,-2.040586415236004
20220427_herm_5,450mM NaCl,repellent,2,2.385999871652227
20220427_herm_5,1uM ascr#3,repellent,0,-0.3853060530129335
20220427_herm_5,1uM ascr#3,repellent,1,-2.1760105189576735
20220427_herm_5,1uM ascr#3,repellent,2,-0.37355007360801595
20220427_herm_5,10mM CuSO4,repellent,0,-0.4075601947104004
20220427_herm_5,10mM CuSO4,repellent,1,0.4782774277806787
20220427_herm_5,10mM CuSO4,repellent,2,-0.475232658424698
20220427_herm_5,800mM Sorbitol,repellent,0,0.3081943245469647
20220427_herm_5,800mM Sorbitol,repellent,1,-1.0264045023381692
20220427_herm_5,800mM Sorbitol,repellent,2,-0.3190344950096691
20220427_herm_5,Control,control,0,1.8199807887031016
20220427_herm_5,Control,control,1,-2.445344217554963
20220427_herm_5,Control,control,2,-0.3752783845144294
20220427_herm_5,Fluorescein,control,0,0.9993077978198417
20220427_herm_5,Fluorescein,control,1,-1.0794390050042497
20220427_herm_5,Fluorescein,control,2,-2.076094230687374
