,100mM NaCl,e-2 IAA,e-6 IAA,OP50,450mM NaCl,1uM ascr#3,10mM CuSO4,800mM Sorbitol,Control,Fluorescein
100mM NaCl,0.0,1.52925,0.77852,1.39441,0.7846,1.17512,1.14524,1.03041,1.16063,1.48806
e-2 IAA,1.52925,0.0,1.50163,1.41838,1.49022,1.37379,1.53878,1.33808,1.31816,1.30214
e-6 IAA,0.77852,1.50163,0.0,1.38819,0.51015,1.41747,1.20857,1.01031,0.97836,1.56419
OP50,1.39441,1.41838,1.38819,0.0,1.35226,1.58174,1.36412,1.34784,1.12701,1.45143
450mM NaCl,0.7846,1.49022,0.51015,1.35226,0.0,1.41411,1.1835,0.98035,0.98892,1.56416
1uM ascr#3,1.17512,1.37379,1.41747,1.58174,1.41411,0.0,1.35022,1.11243,1.57056,1.28667
10mM CuSO4,1.14524,1.53878,1.20857,1.36412,1.1835,1.35022,0.0,0.95956,1.40021,1.26904
800mM Sorbitol,1.03041,1.33808,1.01031,1.34784,0.98035,1.11243,0.95956,0.0,1.27141,1.37717
Control,1.16063,1.31816,0.97836,1.12701,0.98892,1.57056,1.40021,1.27141,0.0,1.47637
Fluorescein,1.48806,1.30214,1.56419,1.45143,1.56416,1.28667,1.26904,1.37717,1.47637,0.0
