,100mM NaCl,e-2 IAA,e-6 IAA,OP50,450mM NaCl,1uM ascr#3,10mM CuSO4,800mM Sorbitol,Control,Fluorescein
100mM NaCl,0.0,1.52125,1.52696,1.30575,0.98022,1.2627,1.31718,1.16488,1.30477,1.10478
e-2 IAA,1.52125,0.0,1.37975,1.67874,1.72106,1.63014,1.64252,1.74922,1.76706,1.68174
e-6 IAA,1.52696,1.37975,0.0,1.67998,1.61324,1.15027,0.90328,1.62611,1.58166,1.60845
OP50,1.30575,1.67874,1.67998,0.0,0.90927,1.36376,1.46777,1.20651,1.11293,0.84091
450mM NaCl,0.98022,1.72106,1.61324,0.90927,0.0,1.18959,1.35818,0.90827,0.91879,0.76026
1uM ascr#3,1.2627,1.63014,1.15027,1.36376,1.18959,0.0,1.12757,1.13917,1.03707,1.16105
10mM CuSO4,1.31718,1.64252,0.90328,1.46777,1.35818,1.12757,0.0,1.38717,1.32758,1.40626
800mM Sorbitol,1.16488,1.74922,1.62611,1.20651,0.90827,1.13917,1.38717,0.0,0.68223,0.73826
Control,1.30477,1.76706,1.58166,1.11293,0.91879,1.03707,1.32758,0.68223,0.0,0.66306
Fluorescein,1.10478,1.68174,1.60845,0.84091,0.76026,1.16105,1.40626,0.73826,0.66306,0.0
