scope,neuron,group,kind,n_epochs,peak_dFF,peak_time_s,sem_at_peak,snr
one_animal,AIBL,attractant,class,12,-0.1631,14.99,0.0645,2.53
one_animal,AIBL,repellent,class,12,-0.1763,11.62,0.0427,4.13
one_animal,AIBL,control,class,6,0.2176,0.0,0.0587,3.71
one_animal,AIBL,100mM NaCl,stimulus,3,-0.2351,11.62,0.0942,2.5
one_animal,AIBL,e-2 IAA,stimulus,3,0.1176,9.37,0.152,0.77
one_animal,AIBL,e-6 IAA,stimulus,3,0.2041,7.5,0.2308,0.88
one_animal,AIBL,OP50,stimulus,3,-0.4006,14.99,0.1546,2.59
one_animal,AIBL,450mM NaCl,stimulus,3,0.5078,9.37,0.4713,1.08
one_animal,AIBL,1uM ascr#3,stimulus,3,0.4463,2.25,0.4683,0.95
one_animal,AIBL,10mM CuSO4,stimulus,3,-0.2924,14.25,0.1402,2.09
one_animal,AIBL,800mM Sorbitol,stimulus,3,-0.1962,4.87,0.0818,2.4
one_animal,AIBL,Control,stimulus,3,0.4026,11.25,0.1843,2.18
one_animal,AIBL,Fluorescein,stimulus,3,-0.238,9.75,0.0443,5.38
one_animal,AVEL,attractant,class,12,-0.0987,12.0,0.0835,1.18
one_animal,AVEL,repellent,class,12,-0.156,6.75,0.0421,3.7
one_animal,AVEL,control,class,6,0.1772,14.62,0.2825,0.63
one_animal,AVEL,100mM NaCl,stimulus,3,-0.2651,6.0,0.1305,2.03
one_animal,AVEL,e-2 IAA,stimulus,3,0.1953,0.0,0.1331,1.47
one_animal,AVEL,e-6 IAA,stimulus,3,-0.1623,6.37,0.0441,3.68
one_animal,AVEL,OP50,stimulus,3,-0.3762,12.0,0.1695,2.22
one_animal,AVEL,450mM NaCl,stimulus,3,-0.2985,4.5,0.0765,3.9
one_animal,AVEL,1uM ascr#3,stimulus,3,-0.1991,13.87,0.1573,1.27
one_animal,AVEL,10mM CuSO4,stimulus,3,-0.1757,6.75,0.0362,4.85
one_animal,AVEL,800mM Sorbitol,stimulus,3,-0.2242,1.12,0.0443,5.07
one_animal,AVEL,Control,stimulus,3,0.5599,14.25,0.2106,2.66
one_animal,AVEL,Fluorescein,stimulus,3,-0.3426,10.12,0.1355,2.53
one_animal,AVAL,attractant,class,12,-0.1152,14.99,0.0713,1.62
one_animal,AVAL,repellent,class,12,-0.1591,11.25,0.0474,3.36
one_animal,AVAL,control,class,6,0.2264,13.5,0.3067,0.74
one_animal,AVAL,100mM NaCl,stimulus,3,-0.1882,1.87,0.0963,1.95
one_animal,AVAL,e-2 IAA,stimulus,3,-0.1883,14.99,0.0588,3.2
one_animal,AVAL,e-6 IAA,stimulus,3,0.1242,4.87,0.0507,2.45
one_animal,AVAL,OP50,stimulus,3,-0.3349,14.62,0.2036,1.64
one_animal,AVAL,450mM NaCl,stimulus,3,-0.1472,4.5,0.054,2.73
one_animal,AVAL,1uM ascr#3,stimulus,3,-0.1821,13.87,0.0694,2.62
one_animal,AVAL,10mM CuSO4,stimulus,3,-0.3492,14.62,0.127,2.75
one_animal,AVAL,800mM Sorbitol,stimulus,3,0.2558,14.62,0.2518,1.02
one_animal,AVAL,Control,stimulus,3,0.6462,13.5,0.5293,1.22
one_animal,AVAL,Fluorescein,stimulus,3,-0.2925,9.37,0.1416,2.07
one_animal,RIML,attractant,class,12,-0.0826,14.62,0.0661,1.25
one_animal,RIML,repellent,class,12,-0.1407,10.87,0.0459,3.06
one_animal,RIML,control,class,6,0.2484,14.99,0.3418,0.73
one_animal,RIML,100mM NaCl,stimulus,3,-0.1408,4.12,0.0531,2.65
one_animal,RIML,e-2 IAA,stimulus,3,-0.1272,14.99,0.1105,1.15
one_animal,RIML,e-6 IAA,stimulus,3,-0.1297,12.0,0.0196,6.63
one_animal,RIML,OP50,stimulus,3,-0.2063,14.62,0.2403,0.86
one_animal,RIML,450mM NaCl,stimulus,3,-0.1301,14.25,0.0247,5.27
one_animal,RIML,1uM ascr#3,stimulus,3,-0.1546,14.25,0.0527,2.94
one_animal,RIML,10mM CuSO4,stimulus,3,-0.3005,11.62,0.0751,4.0
one_animal,RIML,800mM Sorbitol,stimulus,3,-0.1531,4.87,0.0684,2.24
one_animal,RIML,Control,stimulus,3,0.6941,14.99,0.614,1.13
one_animal,RIML,Fluorescein,stimulus,3,-0.2745,9.0,0.0918,2.99
one_animal,ASEL,attractant,class,12,0.1927,3.37,0.1222,1.58
one_animal,ASEL,repellent,class,12,0.1856,1.87,0.1757,1.06
one_animal,ASEL,control,class,6,-0.3212,13.5,0.1087,2.95
one_animal,ASEL,100mM NaCl,stimulus,3,0.6408,3.0,0.4658,1.38
one_animal,ASEL,e-2 IAA,stimulus,3,-0.2492,9.37,0.0363,6.87
one_animal,ASEL,e-6 IAA,stimulus,3,-0.2424,10.12,0.1425,1.7
one_animal,ASEL,OP50,stimulus,3,0.3495,7.87,0.1202,2.91
one_animal,ASEL,450mM NaCl,stimulus,3,0.6227,7.12,0.4459,1.4
one_animal,ASEL,1uM ascr#3,stimulus,3,-0.2605,5.62,0.1079,2.41
one_animal,ASEL,10mM CuSO4,stimulus,3,0.7292,1.87,0.6586,1.11
one_animal,ASEL,800mM Sorbitol,stimulus,3,0.2594,4.87,0.2236,1.16
one_animal,ASEL,Control,stimulus,3,-0.4157,13.5,0.1733,2.4
one_animal,ASEL,Fluorescein,stimulus,3,-0.4058,14.99,0.0635,6.39
one_animal,ASER,attractant,class,12,-0.1166,13.5,0.0288,4.05
one_animal,ASER,repellent,class,12,1.2211,8.62,0.5519,2.21
one_animal,ASER,control,class,6,0.1288,14.99,0.0398,3.24
one_animal,ASER,100mM NaCl,stimulus,3,-0.187,14.25,0.0193,9.7
one_animal,ASER,e-2 IAA,stimulus,3,-0.1875,14.62,0.0934,2.01
one_animal,ASER,e-6 IAA,stimulus,3,0.1271,5.62,0.1272,1.0
one_animal,ASER,OP50,stimulus,3,-0.1302,14.25,0.0413,3.15
one_animal,ASER,450mM NaCl,stimulus,3,-0.2578,13.12,0.0414,6.22
one_animal,ASER,1uM ascr#3,stimulus,3,1.2559,4.12,0.2962,4.24
one_animal,ASER,10mM CuSO4,stimulus,3,3.9512,8.62,1.0141,3.9
one_animal,ASER,800mM Sorbitol,stimulus,3,0.106,0.0,0.034,3.11
one_animal,ASER,Control,stimulus,3,0.1376,0.37,0.0397,3.47
one_animal,ASER,Fluorescein,stimulus,3,0.1765,14.99,0.0704,2.51
one_animal,AWAL,attractant,class,12,1.4354,6.37,0.5514,2.6
one_animal,AWAL,repellent,class,12,0.8237,14.99,0.6701,1.23
one_animal,AWAL,control,class,6,-0.4862,1.12,0.1249,3.89
one_animal,AWAL,100mM NaCl,stimulus,3,-0.5702,2.62,0.1919,2.97
one_animal,AWAL,e-2 IAA,stimulus,3,3.1713,8.62,0.8171,3.88
one_animal,AWAL,e-6 IAA,stimulus,3,-0.4567,9.37,0.2723,1.68
one_animal,AWAL,OP50,stimulus,3,4.1081,10.87,1.1121,3.69
one_animal,AWAL,450mM NaCl,stimulus,3,2.8863,2.62,2.473,1.17
one_animal,AWAL,1uM ascr#3,stimulus,3,-0.4416,11.62,0.2826,1.56
one_animal,AWAL,10mM CuSO4,stimulus,3,-0.6099,12.0,0.2556,2.39
one_animal,AWAL,800mM Sorbitol,stimulus,3,-0.4721,12.37,0.2946,1.6
one_animal,AWAL,Control,stimulus,3,-0.6964,5.25,0.1913,3.64
one_animal,AWAL,Fluorescein,stimulus,3,-0.453,13.5,0.3331,1.36
one_animal,AWCL,attractant,class,12,-0.1803,14.99,0.0591,3.05
one_animal,AWCL,repellent,class,12,0.2006,0.37,0.0706,2.84
one_animal,AWCL,control,class,6,-0.2239,12.75,0.0423,5.3
one_animal,AWCL,100mM NaCl,stimulus,3,-0.1571,9.37,0.1999,0.79
one_animal,AWCL,e-2 IAA,stimulus,3,-0.2158,14.99,0.0519,4.16
one_animal,AWCL,e-6 IAA,stimulus,3,-0.2511,12.75,0.0732,3.43
one_animal,AWCL,OP50,stimulus,3,-0.2198,14.99,0.0814,2.7
one_animal,AWCL,450mM NaCl,stimulus,3,0.3922,0.37,0.2313,1.7
one_animal,AWCL,1uM ascr#3,stimulus,3,0.2675,0.37,0.1072,2.5
one_animal,AWCL,10mM CuSO4,stimulus,3,0.2025,12.0,0.1734,1.17
one_animal,AWCL,800mM Sorbitol,stimulus,3,0.1739,3.0,0.0815,2.13
one_animal,AWCL,Control,stimulus,3,-0.2919,12.75,0.0538,5.42
one_animal,AWCL,Fluorescein,stimulus,3,0.2502,12.0,0.1053,2.38
all_animals,AIBL,attractant,class,96,-0.1407,12.0,0.0407,3.46
