substrate,state,mean_pre,mean_stim,median_pre,median_stim,log2_ratio,mean_paired_diff,p_wilcoxon,phi,p_holm
core,0000,0.1384,0.1545,0.1,0.125,0.159,0.0162,0.02357386251651413,66.11,0.3300340752311978
core,0001,0.0852,0.0753,0.075,0.075,-0.178,-0.0099,0.04077551550075201,1.58,0.5300817015097761
core,0010,0.0606,0.0696,0.05,0.075,0.201,0.0091,0.05127549126757061,1.03,0.6153058952108473
core,0011,0.0548,0.0526,0.05,0.05,-0.061,-0.0023,0.6112456401562095,0.65,1.0
core,0100,0.0638,0.0711,0.05,0.075,0.157,0.0073,0.141781210909061,1.13,1.0
core,0101,0.0513,0.0475,0.05,0.05,-0.11,-0.0038,0.196248540978741,0.78,1.0
core,0110,0.0472,0.0579,0.05,0.05,0.293,0.0107,0.014650001081386315,0.79,0.21975001622079474
core,0111,0.0512,0.0477,0.05,0.05,-0.1,-0.0034,0.4996160389364611,1.45,1.0
core,1000,0.0658,0.063,0.075,0.05,-0.063,-0.0028,0.6993835974828253,1.24,1.0
core,1001,0.0547,0.0499,0.05,0.05,-0.134,-0.0048,0.1653400589067564,0.44,1.0
core,1010,0.0511,0.0554,0.05,0.05,0.117,0.0043,0.3839886003150045,0.86,1.0
core,1011,0.0558,0.042,0.05,0.025,-0.409,-0.0138,0.0027339840269290957,1.67,0.04374374443086553
core,1100,0.051,0.0586,0.05,0.05,0.201,0.0077,0.1236938122885423,0.78,1.0
core,1101,0.0447,0.0432,0.05,0.025,-0.049,-0.0015,0.6082188643518551,0.94,1.0
core,1110,0.0595,0.057,0.05,0.05,-0.061,-0.0025,0.26219391041890405,2.0,1.0
core,1111,0.0649,0.0545,0.05,0.05,-0.25,-0.0103,0.07171449808504567,35.83,0.7888594789355023
sens,0000,0.1086,0.0994,0.1,0.075,-0.129,-0.0093,0.08384684863622296,19.81,0.5030810918173378
sens,0001,0.0734,0.0865,0.075,0.075,0.237,0.0131,0.10983701802528091,0.87,0.5491850901264046
sens,0010,0.0731,0.079,0.075,0.075,0.112,0.0059,0.7260275534154665,0.94,0.7260275534154665
sens,0011,0.0498,0.0753,0.05,0.05,0.596,0.0255,2.61587521899064e-05,0.94,0.00023542876970915759
sens,0100,0.0723,0.0864,0.075,0.075,0.257,0.0141,0.12746437389590295,0.91,0.5491850901264046
sens,0101,0.0506,0.0897,0.05,0.075,0.823,0.039,1.0460505915364955e-09,0.96,1.2552607098437946e-08
sens,0110,0.0463,0.0746,0.05,0.05,0.685,0.0282,1.1377232605286477e-06,0.93,1.1377232605286477e-05
sens,0111,0.0363,0.0805,0.025,0.075,1.146,0.0442,2.7852559675423476e-14,4.08,4.1778839513135215e-13
sens,1000,0.1068,0.0466,0.1,0.025,-1.196,-0.0602,1.6395772224636932e-23,0.97,2.623323555941909e-22
sens,1001,0.0669,0.0371,0.05,0.025,-0.85,-0.0298,4.4955834152326646e-11,0.91,6.293816781325731e-10
sens,1010,0.0717,0.0398,0.05,0.025,-0.848,-0.0319,8.755878957861423e-11,0.97,1.138264264521985e-09
sens,1011,0.0515,0.0356,0.05,0.025,-0.533,-0.0159,0.00012775915064574072,1.02,0.0010220732051659258
sens,1100,0.0664,0.045,0.075,0.025,-0.558,-0.0213,3.2533563731055614e-07,0.91,3.5786920104161174e-06
sens,1101,0.0449,0.042,0.05,0.025,-0.096,-0.0029,0.1529510154853859,1.24,0.5491850901264046
sens,1110,0.0452,0.0383,0.05,0.025,-0.239,-0.0069,0.012637526568926789,0.82,0.08846268598248752
sens,1111,0.0362,0.0444,0.025,0.025,0.293,0.0082,0.2213116895500351,1.31,0.5491850901264046
