state,Phi_static,sd_static,Phi_stim_off,sd_off,delta,delta_in_sd
0000,19.81,6.75,36.23,12.69,-16.42,1.14
0001,0.87,0.05,0.69,0.06,0.19,2.37
0010,0.94,0.07,0.8,0.31,0.14,0.44
0011,0.94,0.06,0.73,0.1,0.21,1.76
0100,0.91,0.19,0.74,0.21,0.18,0.64
0101,0.96,0.06,0.71,0.07,0.25,2.69
0110,0.93,0.08,0.68,0.08,0.26,2.32
0111,4.08,3.3,0.95,1.13,3.13,0.9
1000,0.97,0.25,0.67,0.13,0.3,1.05
1001,0.91,0.17,0.74,0.08,0.17,0.93
1010,0.97,0.03,0.71,0.07,0.26,3.43
1011,1.02,0.42,1.12,1.09,-0.1,0.09
1100,0.91,0.61,0.71,0.24,0.2,0.3
1101,1.24,0.37,1.06,1.1,0.18,0.16
1110,0.82,0.06,0.67,0.05,0.15,1.91
1111,1.31,1.32,2.88,1.94,-1.57,0.67
