k,subset,n_disc,frac_disc,has_AWAL,diff,p
1,AIBL,0,0.0,False,0.056,0.2659
1,AVEL,0,0.0,False,0.0174,0.6878
1,AVAL,0,0.0,False,-0.007,0.894
1,RIML,0,0.0,False,-0.0194,0.7031
1,ASEL,0,0.0,False,0.1224,0.1812
1,ASER,0,0.0,False,-0.1072,0.2629
1,AWAL,1,1.0,True,0.1616,0.3624
1,AWCL,0,0.0,False,0.0686,0.1892
2,AIBL+AVEL,0,0.0,False,0.0531,0.3787
2,AIBL+AVAL,0,0.0,False,0.1023,0.0302
2,AIBL+RIML,0,0.0,False,0.0577,0.3499
2,AIBL+ASEL,0,0.0,False,0.1036,0.1957
2,AIBL+ASER,0,0.0,False,-0.0244,0.7833
2,AIBL+AWAL,1,0.5,True,0.1992,0.2494
2,AIBL+AWCL,0,0.0,False,0.0686,0.2517
2,AVEL+AVAL,0,0.0,False,0.0423,0.2929
2,AVEL+RIML,0,0.0,False,0.0871,0.1957
2,AVEL+ASEL,0,0.0,False,0.1271,0.1377
2,AVEL+ASER,0,0.0,False,-0.0355,0.5179
2,AVEL+AWAL,1,0.5,True,0.1705,0.2744
2,AVEL+AWCL,0,0.0,False,0.0427,0.5626
2,AVAL+RIML,0,0.0,False,-0.0303,0.5699
2,AVAL+ASEL,0,0.0,False,0.1053,0.1592
2,AVAL+ASER,0,0.0,False,-0.0601,0.3514
2,AVAL+AWAL,1,0.5,True,0.1561,0.2724
2,AVAL+AWCL,0,0.0,False,0.0312,0.5059
2,RIML+ASEL,0,0.0,False,0.1111,0.1587
2,RIML+ASER,0,0.0,False,-0.0508,0.4796
2,RIML+AWAL,1,0.5,True,0.1376,0.3817
2,RIML+AWCL,0,0.0,False,0.0394,0.3789
2,ASEL+ASER,0,0.0,False,0.0452,0.6068
2,ASEL+AWAL,1,0.5,True,0.238,0.1032
2,ASEL+AWCL,0,0.0,False,0.1247,0.1427
2,ASER+AWAL,1,0.5,True,0.0597,0.7308
2,ASER+AWCL,0,0.0,False,-0.0337,0.6388
2,AWAL+AWCL,1,0.5,True,0.1633,0.2864
3,AIBL+AVEL+AVAL,0,0.0,False,0.0713,0.1705
3,AIBL+AVEL+RIML,0,0.0,False,0.0567,0.4094
3,AIBL+AVEL+ASEL,0,0.0,False,0.1039,0.2254
3,AIBL+AVEL+ASER,0,0.0,False,-0.0034,0.9623
3,AIBL+AVEL+AWAL,1,0.333,True,0.1772,0.2172
3,AIBL+AVEL+AWCL,0,0.0,False,0.0698,0.2772
3,AIBL+AVAL+RIML,0,0.0,False,0.0736,0.2114
3,AIBL+AVAL+ASEL,0,0.0,False,0.1337,0.0422
3,AIBL+AVAL+ASER,0,0.0,False,0.0162,0.8255
3,AIBL+AVAL+AWAL,1,0.333,True,0.2054,0.1057
3,AIBL+AVAL+AWCL,0,0.0,False,0.1077,0.035
3,AIBL+RIML+ASEL,0,0.0,False,0.1238,0.1217
3,AIBL+RIML+ASER,0,0.0,False,0.0005,0.991
3,AIBL+RIML+AWAL,1,0.333,True,0.1635,0.3012
3,AIBL+RIML+AWCL,0,0.0,False,0.057,0.3412
3,AIBL+ASEL+ASER,0,0.0,False,0.0538,0.5216
