substrate,dropped,remaining,jsd_mean,jsd_sd
core,1,39823,3.9e-05,1.6e-05
core,3,39821,0.000117,2.3e-05
core,10,39814,0.000342,4.4e-05
core,30,39794,0.000797,7.8e-05
core,100,39724,0.001648,8.2e-05
core,300,39524,0.002845,0.000174
core,1000,38824,0.005411,0.000242
core,3000,36824,0.009499,0.000462
core,10000,29824,0.019455,0.00071
core,20000,19824,0.033367,0.001323
core,30000,9824,0.058292,0.002635
core,35000,4824,0.090292,0.00358
core,38000,1824,0.144874,0.007413
core,39000,824,0.205197,0.007979
core,39500,324,0.259468,0.011769
core,39700,124,0.255699,0.008001
sens,1,39823,4.3e-05,1.4e-05
sens,3,39821,0.000105,2.4e-05
sens,10,39814,0.000347,5.4e-05
sens,30,39794,0.00083,6e-05
sens,100,39724,0.001635,7.5e-05
sens,300,39524,0.002831,0.000113
sens,1000,38824,0.005223,0.000245
sens,3000,36824,0.009338,0.000439
sens,10000,29824,0.01942,0.000913
sens,20000,19824,0.03316,0.001748
sens,30000,9824,0.057705,0.002364
sens,35000,4824,0.086627,0.004792
sens,38000,1824,0.142507,0.005922
sens,39000,824,0.201095,0.009778
sens,39500,324,0.25379,0.008616
sens,39700,124,0.262222,0.007523
