substrate,n_transitions,rep,spearman,top2_recovered
core,500,0,0.2647,1
core,500,1,0.6088,2
core,500,2,0.5324,2
core,500,3,0.1471,1
core,500,4,0.2706,2
core,1000,0,0.5824,2
core,1000,1,0.1735,1
core,1000,2,0.3941,1
core,1000,3,0.0412,1
core,1000,4,0.3176,2
core,3000,0,0.7735,2
core,3000,1,0.6529,2
core,3000,2,0.9059,2
core,3000,3,0.4147,2
core,3000,4,0.6912,2
core,10000,0,0.9647,2
core,10000,1,0.5118,2
core,10000,2,0.5059,2
core,10000,3,0.7235,2
core,10000,4,0.8176,2
core,30000,0,0.55,2
core,30000,1,0.8941,2
core,30000,2,0.8706,2
core,30000,3,0.8706,2
core,30000,4,0.9294,2
sens,500,0,-0.2294,0
sens,500,1,0.4029,1
sens,500,2,-0.5206,0
sens,500,3,0.2971,0
sens,500,4,-0.1559,0
sens,1000,0,0.2324,1
sens,1000,1,-0.1412,0
sens,1000,2,0.0059,0
sens,1000,3,-0.1618,1
sens,1000,4,0.7235,1
sens,3000,0,0.3353,1
sens,3000,1,0.4029,2
sens,3000,2,0.0294,1
sens,3000,3,0.2735,1
sens,3000,4,0.3206,1
sens,10000,0,0.4941,1
sens,10000,1,0.5206,2
sens,10000,2,0.5147,1
sens,10000,3,0.7735,1
sens,10000,4,0.3471,1
sens,30000,0,0.8676,2
sens,30000,1,0.7971,1
sens,30000,2,0.55,1
sens,30000,3,0.6382,2
sens,30000,4,0.6059,1
