split,jsd_tpm,D_1000,D_0111
0,0.08063,0.398,10.0377
1,0.07664,4.4883,8.8962
2,0.07418,1.786,3.7737
3,0.07486,0.6584,8.512
4,0.07339,0.99,5.5656
5,0.08199,1.2322,10.4384
6,0.0881,0.5335,5.4901
7,0.07855,0.8859,8.6993
8,0.08443,1.9535,5.3662
9,0.0859,1.8801,15.3149
10,0.07484,3.375,14.3009
11,0.07874,1.5,7.9781
12,0.06894,0.7887,6.5849
13,0.08453,0.6835,26.9217
14,0.06836,1.1348,4.7261
15,0.08555,8.6865,7.6034
16,0.08063,1.0586,3.2997
17,0.09786,1.261,7.7393
18,0.08352,1.4744,5.4166
19,0.08448,5.6642,6.0223
20,0.09936,2.5191,7.4533
21,0.08391,0.6236,4.9673
22,0.08518,8.0799,3.9091
23,0.07874,0.9547,6.5484
24,0.09126,0.5677,7.6059
25,0.0803,1.7182,5.4651
26,0.08792,2.2947,8.634
27,0.07635,0.5117,5.4987
28,0.08102,0.7129,3.4565
29,0.07974,0.5165,17.7702
30,0.08337,0.6843,7.7112
31,0.08191,3.5312,2.1302
32,0.08118,0.7155,19.6553
33,0.08166,0.4187,3.1865
34,0.07463,0.909,8.295
