window_s,code,window,mean_abs_d,core_abs_d,sens_abs_d,n_sig
3,level,early,0.153,0.16,0.145,3
3,level,late,0.141,0.07,0.212,1
3,rate,early,0.208,0.167,0.25,2
3,rate,late,0.136,0.139,0.132,1
5,level,early,0.084,0.052,0.115,0
5,level,late,0.092,0.089,0.095,0
5,rate,early,0.119,0.055,0.184,1
5,rate,late,0.075,0.094,0.056,0
8,level,early,0.127,0.104,0.149,0
8,level,late,0.155,0.167,0.142,1
8,rate,early,0.123,0.067,0.178,2
8,rate,late,0.08,0.071,0.089,0
12,level,early,0.183,0.156,0.21,2
12,level,late,0.2,0.197,0.202,1
12,rate,early,0.17,0.155,0.184,1
12,rate,late,0.141,0.172,0.11,1
20,level,early,0.199,0.123,0.274,2
20,level,late,0.287,0.316,0.258,4
20,rate,early,0.175,0.158,0.193,1
20,rate,late,0.167,0.179,0.155,2
30,level,early,0.22,0.171,0.269,3
30,level,late,0.326,0.349,0.302,5
30,rate,early,0.165,0.144,0.185,1
30,rate,late,0.165,0.196,0.135,2
45,level,early,0.211,0.151,0.27,2
45,level,late,0.393,0.394,0.392,6
45,rate,early,0.189,0.165,0.214,1
45,rate,late,0.21,0.197,0.223,2
60,level,early,0.202,0.14,0.265,1
60,level,late,0.424,0.399,0.449,6
60,rate,early,0.164,0.112,0.217,1
60,rate,late,0.172,0.143,0.201,2
120,level,early,0.155,0.12,0.19,1
120,level,late,0.366,0.295,0.436,6
120,rate,early,0.166,0.094,0.238,1
120,rate,late,0.192,0.178,0.205,2
300,level,early,0.17,0.127,0.213,1
300,level,late,0.36,0.28,0.441,5
300,rate,early,0.16,0.118,0.202,1
300,rate,late,0.12,0.085,0.156,1
