window_s,substrate,rows_compared,observed,null_mean,null_sd,z,p
3,core 4n,16,0.0994,0.0819,0.004,4.41,0.001
3,sensory 4n,16,0.0993,0.0812,0.0041,4.44,0.001
5,core 4n,16,0.0788,0.0709,0.0035,2.28,0.015
5,sensory 4n,16,0.0873,0.0709,0.0033,4.94,0.001
8,core 4n,16,0.0887,0.0705,0.0032,5.63,0.001
8,sensory 4n,16,0.1047,0.0701,0.0033,10.33,0.001
12,core 4n,16,0.0905,0.073,0.0038,4.65,0.001
12,sensory 4n,16,0.1383,0.0716,0.0035,18.99,0.001
20,core 4n,16,0.0977,0.072,0.0037,6.92,0.001
20,sensory 4n,16,0.2017,0.0716,0.0037,35.25,0.001
30,core 4n,16,0.1006,0.0763,0.0044,5.57,0.001
30,sensory 4n,16,0.2765,0.0768,0.0041,48.55,0.001
45,core 4n,16,0.0972,0.0802,0.0048,3.57,0.004
45,sensory 4n,16,0.3014,0.0796,0.0047,47.27,0.001
60,core 4n,16,0.104,0.0838,0.005,4.04,0.001
60,sensory 4n,16,0.2981,0.0822,0.0051,42.67,0.001
120,core 4n,16,0.107,0.1004,0.0064,1.04,0.1459
120,sensory 4n,16,0.2828,0.0891,0.0059,32.87,0.001
300,core 4n,16,0.1398,0.1355,0.0092,0.47,0.2977
300,sensory 4n,16,0.2475,0.0983,0.0069,21.53,0.001
